content_id,title,genre,release_date,language,duration_minutes,rating,production_studio
CONT000001,Lost Horizon,Action,2003-04-01,Hindi,153,6.2,Real Star Productions
CONT000002,Whispering Chronicles Returns,Sports,2003-02-18,Tamil,83,6.0,Universal Studios
CONT000003,Forgotten Justice Reloaded,Romance,2002-10-10,Spanish,72,9.8,Universal Studios
CONT000004,Frozen Prophecy Returns,Drama,2024-04-02,Hindi,206,3.8,Suresh Productions
CONT000005,Electric Symphony Unleashed,Sci-Fi,2016-09-14,Hindi,200,7.4,A24
CONT000006,Silent Alliance The Beginning,Documentary,2019-03-07,Japanese,179,6.3,Hombale Films
CONT000007,Sacred Voyage Reloaded,Sci-Fi,2003-09-03,Telugu,194,5.5,Lyca Productions
CONT000008,Scarlet Heart Part II,Comedy,2022-12-18,Spanish,102,7.8,Sony Pictures
CONT000009,Endless Throne,Comedy,2025-01-12,Japanese,147,7.3,Lionsgate
CONT000010,Emerald Justice,Comedy,2004-03-13,Telugu,181,7.3,Paramount Pictures
CONT000011,Silent Requiem,Romance,2019-12-28,Telugu,158,9.0,Geetha Arts
CONT000012,Shadow Heart,Romance,2005-04-02,French,75,3.0,Toei Animation
CONT000013,Eternal Requiem Returns,Kids,2003-08-13,Kannada,174,4.6,Studio Ghibli
CONT000014,Savage Horizon,Documentary,2012-06-27,Spanish,151,7.1,Mythri Movie Makers
CONT000015,Final Horizon Reloaded,Sci-Fi,2010-06-19,English,184,8.5,Yash Raj Films
CONT000016,Midnight Voyage Returns,Documentary,2016-07-24,Japanese,92,7.2,Marvel Studios
CONT000017,Distant Destiny,Action,2020-06-25,Spanish,161,4.6,20th Century Studios
CONT000018,Emerald Destiny,Sci-Fi,2003-01-08,Tamil,172,2.5,Lyca Productions
CONT000019,Distant Kingdom Unleashed,Drama,2024-01-26,Hindi,153,6.5,Paramount Pictures
CONT000020,Radiant Chronicles,Drama,2011-04-25,Japanese,214,4.3,20th Century Studios
CONT000021,Crimson Prophecy,Kids,2021-07-19,French,139,1.8,20th Century Studios
CONT000022,Scarlet Empire,Kids,2007-03-30,English,112,9.6,Marvel Studios
CONT000023,Sacred Horizon,Action,2023-09-09,Telugu,224,8.8,Amazon Studios
CONT000024,Radiant Odyssey,Drama,2015-12-15,Tamil,196,5.9,Marvel Studios
CONT000025,Lost Destiny Reloaded,Sci-Fi,2017-12-21,Tamil,111,5.7,Geetha Arts
